Task,Dataset,Cohort,TaskType,Outcome,Method,Metric,Mean,SD,Repeats,MeanMAE,SDMAE,MeanAUPRC,SDAUPRC
BRIST1D,BrisT1D,BrisT1D,regression,Daily mean blood glucose,Boruta,RMSE,1.8343954377299019,0.03634116485146225,50,1.3743349009913675,0.036135941601585835,,
BRIST1D,BrisT1D,BrisT1D,regression,Daily mean blood glucose,ElasticNet,RMSE,1.833682369051923,0.03901553014221918,50,1.3715711855336827,0.037750605925320715,,
BRIST1D,BrisT1D,BrisT1D,regression,Daily mean blood glucose,LLSS,RMSE,1.8170696785216187,0.04850247619433853,50,1.3564051831532737,0.04862574114482887,,
BRIST1D,BrisT1D,BrisT1D,regression,Daily mean blood glucose,Lasso,RMSE,1.8319934596036453,0.04035444415140059,50,1.3698288527057594,0.03813814818847144,,
BRIST1D,BrisT1D,BrisT1D,regression,Daily mean blood glucose,LongGroupLasso,RMSE,1.8234008196098004,0.038680010320296734,50,1.3643335156579541,0.03606753447263704,,
BRIST1D,BrisT1D,BrisT1D,regression,Daily mean blood glucose,MutualInfo,RMSE,1.825211211842398,0.041315420842932785,50,1.3671889791563672,0.03954229958336906,,
BRIST1D,BrisT1D,BrisT1D,regression,Daily mean blood glucose,OutcomeSNN-FS,RMSE,1.8349922981479174,0.03983845384071708,50,1.3740206270248891,0.038351281743698236,,
BRIST1D,BrisT1D,BrisT1D,regression,Daily mean blood glucose,PGEE,RMSE,1.7493679997435163,0.051062378507088634,50,1.3396308495045408,0.04059121945808628,,
BRIST1D,BrisT1D,BrisT1D,regression,Daily mean blood glucose,RandomForest,RMSE,1.8339679788208947,0.03749679725739757,50,1.3736069929257695,0.03627764468371319,,
BRIST1D,BrisT1D,BrisT1D,regression,Daily mean blood glucose,SNN-FS,RMSE,1.8344681545148402,0.03868887678837153,50,1.371824942191379,0.036765238920574816,,
BRIST1D,BrisT1D,BrisT1D,regression,Daily mean blood glucose,StabilitySelection,RMSE,1.8234457869722762,0.03548833770533995,50,1.3658238272995442,0.035247318824498074,,
BRIST1D,BrisT1D,BrisT1D,regression,Daily mean blood glucose,Stabl-RP,RMSE,1.838003784022417,0.04049803689236406,50,1.3781454093711742,0.04080833153965472,,
BRIST1D,BrisT1D,BrisT1D,regression,Daily mean blood glucose,geeVerse,RMSE,1.7751321052954825,0.05005379930832503,50,1.3684879108864112,0.038788670702481466,,
BRIST1D,BrisT1D,BrisT1D,regression,Daily mean blood glucose,glmmLasso,RMSE,1.77881148762228,0.04679912463229845,50,1.3659183654480282,0.040388173886795914,,
BRIST1D,BrisT1D,BrisT1D,regression,Daily mean blood glucose,mRMR,RMSE,1.8205422922857417,0.03959426864862667,50,1.3597852040365084,0.03917364271900958,,
FPG,Japan T2D,Japan T2D,regression,Fasting plasma glucose,Boruta,RMSE,27.745147268508763,0.12438019368569603,50,20.26602562192243,0.10124810852005071,,
FPG,Japan T2D,Japan T2D,regression,Fasting plasma glucose,ElasticNet,RMSE,27.769472156623852,0.21429418173478126,50,20.12494358344885,0.13709699543405746,,
FPG,Japan T2D,Japan T2D,regression,Fasting plasma glucose,LLSS,RMSE,27.61161123811447,0.11813631801514148,50,20.18781683485112,0.09791871964445002,,
FPG,Japan T2D,Japan T2D,regression,Fasting plasma glucose,Lasso,RMSE,27.87848108014948,0.2005493835739433,50,20.174129920414426,0.13060035117660018,,
FPG,Japan T2D,Japan T2D,regression,Fasting plasma glucose,LongGroupLasso,RMSE,27.675486921924033,0.11107135936004162,50,20.211120282989988,0.09720694073937178,,
FPG,Japan T2D,Japan T2D,regression,Fasting plasma glucose,MutualInfo,RMSE,27.827376618038475,0.1461995011809167,50,20.249158043814802,0.11021354265983391,,
FPG,Japan T2D,Japan T2D,regression,Fasting plasma glucose,OutcomeSNN-FS,RMSE,27.81955982029643,0.18078855773760885,50,20.17299193764221,0.13046381995576045,,
FPG,Japan T2D,Japan T2D,regression,Fasting plasma glucose,PGEE,RMSE,27.893875113702816,0.1492398119918018,50,20.26341314003911,0.10575551085779052,,
FPG,Japan T2D,Japan T2D,regression,Fasting plasma glucose,RandomForest,RMSE,27.757983541894347,0.13822611737030305,50,20.25807773590197,0.09643991785474358,,
FPG,Japan T2D,Japan T2D,regression,Fasting plasma glucose,SNN-FS,RMSE,27.873819536971112,0.19845835700459413,50,20.194018183913343,0.1399476540579505,,
FPG,Japan T2D,Japan T2D,regression,Fasting plasma glucose,StabilitySelection,RMSE,31.360996956607213,0.27367253898603044,50,23.33909460805202,0.19148256874806882,,
FPG,Japan T2D,Japan T2D,regression,Fasting plasma glucose,Stabl-RP,RMSE,27.579144238854333,0.14016839039565399,50,20.17569348460696,0.09993478496937845,,
FPG,Japan T2D,Japan T2D,regression,Fasting plasma glucose,geeVerse,RMSE,30.045441090066447,1.3571990296385148,50,21.911351022923736,1.0333610933794857,,
FPG,Japan T2D,Japan T2D,regression,Fasting plasma glucose,glmmLasso,RMSE,27.640391554460308,0.11875944116278504,50,20.253263770204672,0.10309970446618358,,
FPG,Japan T2D,Japan T2D,regression,Fasting plasma glucose,mRMR,RMSE,27.94540794310222,0.1285078721907883,50,20.365792267946134,0.10631450495259095,,
