Dataset,Fold,Method,Feature,StabilityFrequency
TRA,1,Univariate + Ridge,IL-10,
TRA,1,Univariate + Ridge,TGF-alpha,
TRA,1,Univariate + Ridge,Fas Ligand/TNFSF6,
TRA,1,Longitudinal-LASSO + Ridge,Fetuin A/AHSG,1.0
TRA,1,Longitudinal-LASSO + Ridge,MMP-9,1.0
TRA,1,Longitudinal-LASSO + Ridge,Fas Ligand/TNFSF6,1.0
TRA,2,Univariate + Ridge,IL-10,
TRA,2,Univariate + Ridge,TGF-alpha,
TRA,2,Univariate + Ridge,Fas Ligand/TNFSF6,
TRA,2,Longitudinal-LASSO + Ridge,MMP-9,1.0
TRA,2,Longitudinal-LASSO + Ridge,CA125/MUC16,1.0
TRA,2,Longitudinal-LASSO + Ridge,Fas Ligand/TNFSF6,1.0
TRA,3,Univariate + Ridge,IL-10,
TRA,3,Univariate + Ridge,TGF-alpha,
TRA,3,Univariate + Ridge,Fas Ligand/TNFSF6,
TRA,3,Longitudinal-LASSO + Ridge,Fetuin A/AHSG,1.0
TRA,3,Longitudinal-LASSO + Ridge,Leptin/OB,1.0
TRA,3,Longitudinal-LASSO + Ridge,Fas Ligand/TNFSF6,1.0
TRA,4,Univariate + Ridge,IL-10,
TRA,4,Univariate + Ridge,M-CSF,
TRA,4,Univariate + Ridge,Fas Ligand/TNFSF6,
TRA,4,Longitudinal-LASSO + Ridge,Leptin/OB,1.0
TRA,4,Longitudinal-LASSO + Ridge,CA125/MUC16,1.0
TRA,4,Longitudinal-LASSO + Ridge,L-Selectin/CD62L,1.0
TRA,5,Univariate + Ridge,VCAM-1/CD106,
TRA,5,Univariate + Ridge,Fas Ligand/TNFSF6,
TRA,5,Univariate + Ridge,IL-17E/IL-25,
TRA,5,Longitudinal-LASSO + Ridge,Fetuin A/AHSG,1.0
TRA,5,Longitudinal-LASSO + Ridge,Leptin/OB,1.0
TRA,5,Longitudinal-LASSO + Ridge,Fas Ligand/TNFSF6,1.0
